Student_ID,Study_Hours,Attendance,Assignments,Previous_GPA,Internet_Access,Extra_Class,Parent_Education,Age,Final_Result
S040,1.4,82,40,3.04,Yes,No,College,18,Pass
S041,7,62,86,3.8,No,No,College,21,Pass
S042,7,79,83,3.5,Yes,No,College,22,Pass
S043,8.1,93,81,2.64,No,No,University,19,Pass
S044,7.6,97,45,2.57,No,Yes,School,23,Pass
S045,1.4,85,79,3.7,Yes,No,College,23,Pass
S046,4.6,64,81,3.38,Yes,No,School,19,Pass
S047,6,62,69,2.27,No,No,College,22,Pass
S048,9.2,83,97,2.32,No,No,College,24,Pass
S049,5.7,95,55,2.55,Yes,No,School,20,Pass
S050,2.4,79,84,2.31,Yes,Yes,College,21,Pass
S051,8.5,79,97,3.54,Yes,No,College,18,Pass
S052,9,,74,3.5,Yes,No,School,20,Pass
S053,,80,86,2.33,No,Yes,University,22,Pass
S054,1.2,96,67,2.27,No,Yes,School,20,Pass
S055,,79,57,3.5,No,No,School,21,Pass
S056,4.1,96,44,3.56,Yes,Yes,School,19,Pass
S057,5.3,62,76,3.9,No,No,College,19,Pass
S058,8,65,59,2.22,Yes,No,University,23,Pass
S059,2.8,92,84,3.66,Yes,Yes,University,24,Pass
S060,8.2,,90,2.08,No,No,School,22,Pass
S061,5.4,82,63,3.27,No,Yes,College,19,Pass
S062,8.3,89,89,2.97,No,No,College,24,Pass
S063,5.1,84,76,3.22,No,No,School,21,Pass
S064,8.2,76,57,3.76,No,Yes,University,19,Pass
S065,7.8,99,70,3.29,No,No,School,18,Pass
S066,7,78,70,3.11,No,No,University,22,Pass
S067,3.3,62,86,2.39,Yes,Yes,School,19,Pass
S068,7.8,,58,3.96,Yes,No,School,20,Pass
S069,,58,75,2.58,Yes,No,School,24,Pass
S070,4.1,58,56,3.88,No,Yes,School,21,Pass
S071,2.4,91,100,2.61,Yes,Yes,University,24,Pass
S072,8,79,68,3.82,No,No,College,22,Pass
S073,9.5,68,80,2.42,Yes,Yes,School,19,Pass
S074,7.2,85,58,2.07,No,No,University,24,Pass
S075,8.1,95,77,3.32,Yes,No,School,22,Pass
S076,2.3,58,50,3.59,No,No,School,21,Pass
S077,5.5,,68,2.16,Yes,No,University,20,Pass
S078,7.1,91,77,3.9,No,Yes,School,21,Pass
S079,10,82,80,3.63,Yes,No,College,21,Pass
S080,4,99,71,2.58,No,Yes,College,18,Pass
S081,4.6,87,92,3.98,No,No,School,19,Pass
S082,5,,53,2.53,Yes,No,College,23,Pass
S083,8.2,100,50,2.62,Yes,No,School,19,Pass
S084,2.1,64,71,3.87,No,No,College,24,Pass
S085,2.3,67,98,3.2,Yes,Yes,College,24,Pass
S086,5.6,55,58,3.45,No,Yes,College,22,Pass
S087,4.4,,95,2.38,Yes,No,School,24,Pass
S088,7.3,79,64,3.98,Yes,No,School,19,Pass
S089,8.9,83,46,3.05,No,Yes,University,19,Pass
S090,5.2,71,61,3.25,No,Yes,College,24,Pass
S091,6.6,86,95,3.08,Yes,Yes,University,23,Pass
S092,4.9,,88,3.27,Yes,No,School,23,Pass
S093,1.5,77,63,2.86,Yes,No,University,23,Pass
S094,8.8,94,83,2.48,Yes,,College,23,Pass
S095,8.2,73,83,3.09,Yes,No,College,22,Pass
S096,5.1,74,52,4,No,Yes,School,21,Pass
S097,3.7,97,65,2.55,Yes,No,College,24,Pass
S098,,94,56,3.36,Yes,,University,23,Pass
S099,4.3,63,45,3.82,No,No,School,19,Pass
S100,5.8,72,93,2.33,No,No,University,24,Pass
S101,2.3,69,95,3.35,No,No,School,24,Pass
S102,4.3,98,56,3.17,No,Yes,University,19,Pass
S103,4,,54,3.3,No,,University,21,Pass
S104,10,62,46,2.47,Yes,No,College,20,Pass
S105,4.8,64,96,2.83,Yes,No,University,21,Pass
S106,3,83,100,2.47,No,Yes,University,20,Pass
S107,4.6,67,47,3.9,No,,University,19,Pass
S108,8.1,70,48,3.57,Yes,Yes,University,19,Pass
S109,8,93,40,2.55,Yes,Yes,University,20,Pass
S110,,77,90,3.58,No,Yes,School,20,Pass
S111,7.7,,68,3.56,Yes,No,University,19,Pass
S112,8.8,88,59,2.92,Yes,Yes,College,24,Pass
S113,9.2,59,97,2.16,Yes,Yes,School,20,Pass
S114,4.4,93,73,2.59,No,Yes,University,18,Pass
S115,7.5,68,67,2.9,Yes,No,College,24,Pass
S116,4.8,97,56,2.75,Yes,No,School,18,Pass
S117,7.6,63,75,2.12,No,Yes,College,20,Pass
S118,9.2,58,58,3.2,No,Yes,University,22,Pass
S119,2,90,63,2.23,No,Yes,College,24,Pass
S120,7.1,90,41,3.22,No,Yes,School,20,Pass
